model_id,d_A,intensity
angle27_cand16,6.303560851188807,7736586.195119578
angle27_cand16,6.13284003626726,6960406.402721759
angle27_cand16,5.9712769171396785,7628355.233886916
angle27_cand16,5.818157833716352,6480316.498903057
angle27_cand16,5.672841393523596,7157872.70502599
angle27_cand16,5.534749549788793,6832312.642654191
angle27_cand16,5.403359969441125,6254605.944610978
angle27_cand16,5.278199478571246,4436972.6153416885
angle27_cand16,5.158838411965753,3552816.7822459987
angle27_cand16,5.044885724502379,3109745.355652696
angle27_cand16,4.935984747196603,1886626.7103534664
angle27_cand16,4.831809490855344,1909780.8606135652
angle27_cand16,4.732061416637764,2706787.1293613734
angle27_cand16,4.636466606134514,3731608.4895130885
angle27_cand16,4.54477327446784,4668137.087901578
angle27_cand16,4.456749578865149,4646168.531282874
angle27_cand16,4.37218168254452,4688127.3292634655
angle27_cand16,4.290872039870627,5016673.001808741
angle27_cand16,4.212637873829762,2954119.4821117343
angle27_cand16,4.137309821122427,2766334.287046116
angle27_cand16,4.064730723732543,2559905.999108313
angle27_cand16,3.99475454882572,3023003.160654067
angle27_cand16,3.927245421353911,2944845.8061079234
angle27_cand16,3.862076755880224,2760229.337891666
angle27_cand16,3.7991304759509172,2820740.0976052927
angle27_cand16,3.7382963108851506,3243184.0064750207
angle27_cand16,3.6794711611707145,3029826.143175913
angle27_cand16,3.6225585247818612,2560294.580214028
angle27_cand16,3.5674679777034064,2795901.272278948
angle27_cand16,3.5141147027782615,2788113.931706552
angle27_cand16,3.4624190617140362,7467901.473545487
angle27_cand16,3.412306205705666,4512174.786588161
angle27_cand16,3.3637057206694214,8723884.884219427
angle27_cand16,3.316551303551382,5840595.24188232
angle27_cand16,3.2707804665805473,4596783.695319124
angle27_cand16,3.226334266691961,3505193.109739903
angle27_cand16,3.183157057655629,2867979.633734869
angle27_cand16,3.1411962627189505,2537402.8468377674
angle27_cand16,3.100402165808998,2146347.5498941457
angle27_cand16,3.0607277195507496,1882055.4476198128
angle27_cand16,3.0221283685421896,1620028.148609105
angle27_cand16,2.9845618864902175,1262020.871772928
angle27_cand16,2.9479882259554047,1312394.6176018843
angle27_cand16,2.912369379581268,1402153.8330252278
angle27_cand16,2.8776692517968083,1530969.0474301544
angle27_cand16,2.8438535400816245,1659276.6121968073
angle27_cand16,2.810889624972247,1845066.5262876053
angle27_cand16,2.7787464680680305,2058049.4944221296
angle27_cand16,2.747394517365969,2186535.4310448426
angle27_cand16,2.7168056193173014,2294236.2218280467
angle27_cand16,2.6869529370555894,2339858.9468957856
angle27_cand16,2.657810874296835,2195464.255643163
angle27_cand16,2.629355004457874,2221606.812286486
angle27_cand16,2.601562004580294,1989631.6399590494
angle27_cand16,2.57440959368403,2208263.202080534
angle27_cand16,2.547876475208006,2100378.3980639456
angle27_cand16,2.5219422832251377,2183800.8273042915
angle27_cand16,2.4965875321460995,2348523.2521741944
angle27_cand16,2.4717935696506212,2443902.269678894
angle27_cand16,2.447542532607264,2851917.3848863123
angle27_cand16,2.4238173057626193,3295196.4543471383
angle27_cand16,2.400601482999028,3050680.883761623
angle27_cand16,2.3778793309764166,3600243.850828317
angle27_cand16,2.3556357549888265,3441655.6251623654
angle27_cand16,2.3338562668798124,3742645.5046148845
angle27_cand16,2.3125269548733143,3572027.218559306
angle27_cand16,2.2916344551879,4055405.994565341
angle27_cand16,2.2711659253125793,3523391.471256356
angle27_cand16,2.251109018831818,4907215.142325016
angle27_cand16,2.2314518616959678,3241297.6328571336
angle27_cand16,2.212183029841217,4709817.184623337
angle27_cand16,2.193291528070352,4512717.740770167
angle27_cand16,2.1747667701122286,3743027.984677722
angle27_cand16,2.156598559783912,3961639.5381905865
angle27_cand16,2.138777073184987,2912725.1778004565
angle27_cand16,2.121292841858658,2632114.8383020367
angle27_cand16,2.1041367368589317,2368758.2698349142
angle27_cand16,2.087299953667518,2115881.6029808572
angle27_cand16,2.054550671808726,2459377.5135589256
angle27_cand16,2.0229805241837067,3020851.9952117293
angle27_cand16,1.9925293892289613,3060985.4145988454
angle27_cand16,1.9777057635652266,3001829.822837547
angle27_cand19,445.0130562565878,7739670527.987316
angle27_cand19,89.00503999841906,3984155547.9650106
angle27_cand19,63.5767633212819,2225205345.8581295
angle27_cand19,40.46125183167113,587132474.6667746
angle27_cand19,29.675091945324713,111049319.31612411
angle27_cand19,26.18580879442811,46081739.06645324
angle27_cand19,23.43132431885384,11003844.741749909
angle27_cand19,21.20169597173345,9853049.723939179
angle27_cand19,19.36000469388422,11812549.164622614
angle27_cand19,16.495600130686242,9473923.03513972
angle27_cand19,15.359924226752971,7876309.22058567
angle27_cand19,14.370917190024475,4943035.301859714
angle27_cand19,13.501911881730377,6374705.6342878295
angle27_cand19,12.732336504650608,6008479.60992194
angle27_cand19,12.04606721352027,8803555.143373225
angle27_cand19,11.430287614541383,7683710.39688578
angle27_cand19,10.874682069916327,4163542.5766558954
angle27_cand19,10.370854126698163,3001599.9812756674
angle27_cand19,9.911900031281524,1932554.6829541903
angle27_cand19,9.492091133811293,2102256.2354665548
angle27_cand19,9.106634071104004,3038445.2486018105
angle27_cand19,8.751487377117718,2921476.721857602
angle27_cand19,8.423219615580143,2521339.4628163977
angle27_cand19,8.118898465498383,2870342.422881208
angle27_cand19,7.836003157088168,2342058.6415222925
angle27_cand19,7.572354717345019,3006495.602250352
angle27_cand19,7.326059937798561,2920462.507707261
angle27_cand19,7.095466015075968,3680239.3840991883
angle27_cand19,6.879123565515574,4122829.710148545
angle27_cand19,6.675756264029209,4561073.695430703
angle27_cand19,6.484235763162709,4444201.868874798
angle27_cand19,6.303560851188807,5152745.961120493
angle27_cand19,6.13284003626726,5248503.09544626
angle27_cand19,5.9712769171396785,6996408.465489316
angle27_cand19,5.818157833716352,6376395.660241178
angle27_cand19,5.672841393523596,7730737.558254086
angle27_cand19,5.534749549788793,7566183.325279626
angle27_cand19,5.403359969441125,6585980.321959191
angle27_cand19,5.278199478571246,4732277.304012192
angle27_cand19,5.158838411965753,3685740.472442621
angle27_cand19,5.044885724502379,3274896.3895458835
angle27_cand19,4.935984747196603,1952981.1766936327
angle27_cand19,4.831809490855344,1990812.1615227077
angle27_cand19,4.732061416637764,2603826.275852368
angle27_cand19,4.636466606134514,3479639.074269728
angle27_cand19,4.54477327446784,4339317.882731754
angle27_cand19,4.456749578865149,4678910.660621711
angle27_cand19,4.37218168254452,4968956.912266234
angle27_cand19,4.290872039870627,5768214.891015541
angle27_cand19,4.212637873829762,3807869.962608266
angle27_cand19,4.137309821122427,3343132.340383673
angle27_cand19,4.064730723732543,2698737.8012925135
angle27_cand19,3.99475454882572,2917605.4621340237
angle27_cand19,3.927245421353911,2546281.5698899655
angle27_cand19,3.862076755880224,2476041.2044134466
angle27_cand19,3.7991304759509172,2643673.932020725
angle27_cand19,3.7382963108851506,3249778.8924483457
angle27_cand19,3.6794711611707145,3260874.692653684
angle27_cand19,3.6225585247818612,2793906.4228570117
angle27_cand19,3.5674679777034064,3160260.5519754295
angle27_cand19,3.5141147027782615,3344539.239292921
angle27_cand19,3.4624190617140362,9383691.408138182
angle27_cand19,3.412306205705666,5534533.747187707
angle27_cand19,3.3637057206694214,11674311.614535728
angle27_cand19,3.316551303551382,7402405.918049059
angle27_cand19,3.2707804665805473,5392631.127486512
angle27_cand19,3.226334266691961,3732226.2292011753
