rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,20,cand57,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand57\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand57\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand6\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand6\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand7\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand7\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand8\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand8\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand9\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand9\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand0\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand0\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand1\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand1\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand10,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand10\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand10\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand11,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand11\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand11\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand12,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand12\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand12\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand13,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand13\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand13\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand14,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand14\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand14\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand15,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand15\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand15\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand16,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand16\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand16\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand17,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand17\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand17\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand18,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand18\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand18\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand19,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand19\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand19\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand2\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand2\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand20,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand20\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand20\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand21,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand21\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand21\initial.pdb,glu_ablated,2364,1446
rise3p38,21,cand22,inputs\asem_matched_twist_scan\rise3p38\sidechain\21\cand22\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\21\cand22\initial.pdb,glu_ablated,2364,1446
